miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,Luciferase reporter assay//Microarray//Western blot,Functional MTI,20864407
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,22460089
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,qRT-PCR//Luciferase reporter assay//Immunoblot//Western blot,Functional MTI,25388283
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,26966351
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,Luciferase reporter assay,Functional MTI,26544868
MIRT002939,hsa-miR-125b-5p,Homo sapiens,ERBB2,2064,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25833836
MIRT002940,hsa-miR-196a-5p,Homo sapiens,HOXA7,3204,Homo sapiens,Western blot,Functional MTI,19418581
MIRT002940,hsa-miR-196a-5p,Homo sapiens,HOXA7,3204,Homo sapiens,Luciferase reporter assay,Functional MTI,15105502
MIRT002941,hsa-miR-196a-5p,Homo sapiens,HOXD8,3234,Homo sapiens,Western blot,Functional MTI,19418581
MIRT002941,hsa-miR-196a-5p,Homo sapiens,HOXD8,3234,Homo sapiens,Luciferase reporter assay,Functional MTI,15105502
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot//Reporter assay;Other,Functional MTI,19063684
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,Luciferase reporter assay//qRT-PCR//Reporter assay;Western blot;qRT-PCR,Functional MTI,21077158
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,Western blot,Functional MTI,19418581
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR,Functional MTI,20736365
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,Luciferase reporter assay,Functional MTI,15105502
MIRT002942,hsa-miR-196a-5p,Homo sapiens,HOXC8,3224,Homo sapiens,qRT-PCR//Western blot,Functional MTI,22545021
MIRT002944,hsa-miR-199b-5p,Homo sapiens,LAMC2,3918,Homo sapiens,Luciferase reporter assay,Functional MTI,15131085
MIRT002946,hsa-miR-15a-5p,Homo sapiens,DMTF1,9988,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,15131085
MIRT002950,hsa-miR-24-3p,Homo sapiens,MAPK14,1432,Homo sapiens,Luciferase reporter assay//Reporter assay;Other,Functional MTI,15131085
MIRT002951,hsa-miR-141-3p,Homo sapiens,CLOCK,9575,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,15131085
MIRT002951,hsa-miR-141-3p,Homo sapiens,CLOCK,9575,Homo sapiens,Northern blot//qRT-PCR//Western blot,Functional MTI,16762633
MIRT002953,hsa-miR-23a-3p,Homo sapiens,HES1,3280,Homo sapiens,Immunofluorescence//Luciferase reporter assay//Northern blot//Western blot,Functional MTI,12808467
MIRT002953,hsa-miR-23a-3p,Homo sapiens,HES1,3280,Homo sapiens,Luciferase reporter assay,Functional MTI,15066185
MIRT002955,hsa-miR-1-3p,Homo sapiens,BDNF,627,Homo sapiens,Luciferase reporter assay,Functional MTI,14697198
MIRT002956,hsa-miR-1-3p,Homo sapiens,G6PD,2539,Homo sapiens,Luciferase reporter assay,Functional MTI,14697198
MIRT002956,hsa-miR-1-3p,Homo sapiens,G6PD,2539,Homo sapiens,Luciferase reporter assay//Quantitative proteomic approach//Western blot,Functional MTI,23921124
MIRT002956,hsa-miR-1-3p,Homo sapiens,G6PD,2539,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27861141
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18460397
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,14697198
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,21853360
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,Luciferase reporter assay,Functional MTI,20388916
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23603256
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,Luciferase reporter assay,Functional MTI,24220575
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,In situ hybridization//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23824915
MIRT002958,hsa-miR-19a-3p,Homo sapiens,PTEN,5728,Homo sapiens,Luciferase reporter assay,Functional MTI,26098000
MIRT002987,hsa-miR-200b-3p,Homo sapiens,RERE,473,Homo sapiens,Luciferase reporter assay,Functional MTI,17923093
MIRT002988,hsa-miR-429,Homo sapiens,RERE,473,Homo sapiens,Luciferase reporter assay,Functional MTI,17923093
MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18602365
MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398,Homo sapiens,Western blot,Functional MTI,19767772
MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Western blot,Functional MTI,20619534
MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398,Homo sapiens,qRT-PCR//Western blot,Functional MTI,24969300
MIRT002993,hsa-miR-126-3p,Homo sapiens,CRK,1398,Homo sapiens,qRT-PCR//Western blot,Functional MTI,25027343
MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Northern blot//qRT-PCR//Western blot;Other,Functional MTI,17222355
MIRT002999,hsa-miR-98-5p,Homo sapiens,HMGA2,8091,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,24392454
MIRT003003,hsa-miR-320a,Homo sapiens,TAC1,6863,Homo sapiens,Luciferase reporter assay,Non-Functional MTI,17855557
MIRT003004,hsa-miR-206,Homo sapiens,TAC1,6863,Homo sapiens,Luciferase reporter assay//Reporter assay;Other,Functional MTI,17855557
MIRT003005,hsa-miR-130a-3p,Homo sapiens,TAC1,6863,Homo sapiens,Luciferase reporter assay//Reporter assay;Other,Functional MTI,17855557
MIRT003006,hsa-miR-122-5p,Homo sapiens,CCNG1,900,Homo sapiens,Reporter assay,Functional MTI,17616664
MIRT003006,hsa-miR-122-5p,Homo sapiens,CCNG1,900,Homo sapiens,Western blot,Functional MTI,19584283
MIRT003006,hsa-miR-122-5p,Homo sapiens,CCNG1,900,Homo sapiens,Reporter assay;Western blot,Functional MTI,18692484
MIRT003006,hsa-miR-122-5p,Homo sapiens,CCNG1,900,Homo sapiens,qRT-PCR//Western blot,Functional MTI,27528885
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Western blot//Luciferase reporter assay//Reporter assay,Functional MTI,17911264
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Microarray//qRT-PCR//Western blot,Functional MTI,21093163
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Reporter assay;Other,Functional MTI,20584899
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//Microarray//qRT-PCR//Western blot,Functional MTI,23209550
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Luciferase reporter assay,Functional MTI,24152184
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23568502
MIRT003007,hsa-miR-155-5p,Homo sapiens,TP53INP1,94241,Homo sapiens,Western blot,Functional MTI,25601564
MIRT003010,hsa-miR-20a-5p,Homo sapiens,MAP3K12,7786,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003011,hsa-miR-20a-5p,Homo sapiens,BCL2,596,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003012,hsa-miR-20a-5p,Homo sapiens,MEF2D,4209,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003013,hsa-miR-17-5p,Homo sapiens,MAP3K12,7786,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003014,hsa-miR-17-5p,Homo sapiens,BCL2,596,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003014,hsa-miR-17-5p,Homo sapiens,BCL2,596,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,24280866
MIRT003015,hsa-miR-17-5p,Homo sapiens,MEF2D,4209,Homo sapiens,Luciferase reporter assay,Functional MTI,19666108
MIRT003021,hsa-miR-29a-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003021,hsa-miR-29a-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunohistochemistry//Microarray//Western blot,Functional MTI,20643754
MIRT003025,hsa-miR-29c-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay,Functional MTI,18996365
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay,Functional MTI,19211935
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,qRT-PCR//Western blot,Functional MTI,21266537
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23179556
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23100393
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27832631
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26404322
MIRT003026,hsa-miR-29b-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay,Functional MTI,25784815
MIRT003027,hsa-miR-29a-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003027,hsa-miR-29a-3p,Homo sapiens,DNMT3B,1789,Homo sapiens,ChIP-seq//qRT-PCR//Western blot,Functional MTI,23789939
MIRT003028,hsa-miR-29c-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003028,hsa-miR-29c-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunohistochemistry//Microarray//Western blot,Functional MTI,20643754
MIRT003028,hsa-miR-29c-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,23516428
MIRT003028,hsa-miR-29c-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25874772
MIRT003028,hsa-miR-29c-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunoblot//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,26453978
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//Western blot//qRT-PCR//Reporter assay;Other,Functional MTI,17890317
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay,Functional MTI,19211935
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunohistochemistry//Microarray//Western blot,Functional MTI,20643754
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,qRT-PCR//Western blot,Functional MTI,21266537
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23179556
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23100393
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,25874772
MIRT003029,hsa-miR-29b-3p,Homo sapiens,DNMT3A,1788,Homo sapiens,Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,27832631
MIRT003031,hsa-miR-92a-3p,Homo sapiens,ITGA5,3678,Homo sapiens,Luciferase reporter assay//Western blot//Microarray,Functional MTI,19460962
MIRT003032,hsa-miR-203a-3p,Homo sapiens,ABL1,25,Homo sapiens,Luciferase reporter assay,Functional MTI,18538733
MIRT003032,hsa-miR-203a-3p,Homo sapiens,ABL1,25,Homo sapiens,Immunoprecipitaion//qRT-PCR//Western blot,Functional MTI,23462723
MIRT003032,hsa-miR-203a-3p,Homo sapiens,ABL1,25,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23968727
MIRT003035,hsa-miR-181b-5p,Homo sapiens,GRIA2,2891,Homo sapiens,Luciferase assay/RT-PCR//Reporter assay;Other,Functional MTI,18184693
MIRT003036,hsa-miR-181b-5p,Homo sapiens,VSNL1,7447,Homo sapiens,Luciferase assay/RT-PCR//Reporter assay;Other,Functional MTI,18184693
MIRT003038,hsa-miR-338-3p,Homo sapiens,UBE2Q1,55585,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003039,hsa-miR-338-3p,Homo sapiens,NOVA1,4857,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003040,hsa-miR-338-3p,Homo sapiens,MAP1A,4130,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003041,hsa-miR-338-3p,Homo sapiens,DAB2IP,153090,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003042,hsa-miR-338-3p,Homo sapiens,ZBTB18,10472,Homo sapiens,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003045,hsa-miR-106b-5p,Homo sapiens,E2F1,1869,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,18676839
MIRT003045,hsa-miR-106b-5p,Homo sapiens,E2F1,1869,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,19486339
MIRT003045,hsa-miR-106b-5p,Homo sapiens,E2F1,1869,Homo sapiens,Luciferase reporter assay//Microarray//Western blot,Functional MTI,18328430
MIRT003045,hsa-miR-106b-5p,Homo sapiens,E2F1,1869,Homo sapiens,Luciferase reporter assay,Functional MTI,21283765
MIRT003045,hsa-miR-106b-5p,Homo sapiens,E2F1,1869,Homo sapiens,Reporter assay,Functional MTI,18212054
MIRT003050,hsa-let-7i-5p,Homo sapiens,TLR4,7099,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17660297
MIRT003051,hsa-miR-124-3p,Homo sapiens,RDH10,157506,Homo sapiens,Luciferase reporter assay//Reporter assay,Functional MTI,17724173
MIRT003052,hsa-miR-133b,Homo sapiens,PTBP2,58155,Homo sapiens,Reporter assay,Functional MTI,17210790
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//Westren blot//Reporter assay,Functional MTI,17968323
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Western blot,Functional MTI,19672202
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Western blot,Functional MTI,19509156
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//Western blot//Reporter assay,Functional MTI,18372920
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,19682430
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,qRT-PCR//Western blot,Functional MTI,19906824
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//Western blot//Reporter assay;Other//Reporter assay,Functional MTI,18270520
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Western blot//Northern blot//qRT-PCR//Luciferase reporter assay,Functional MTI,19013014
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18850008
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20143188
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay,Functional MTI,19836969
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay,Functional MTI,19419954
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay,Functional MTI,19133651
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19264808
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay,Functional MTI,20056717
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,20831814
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,GFP reporter assay//Northern blot//qRT-PCR//Western blot//ASO assay,Functional MTI,19641183
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//qRT-PCR//Quantitative proteomic approach,Functional MTI,19253296
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19276261
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//qRT-PCR,Functional MTI,18829576
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunoblot//Immunofluorescence//Luciferase reporter assay//qRT-PCR,Functional MTI,20533548
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,20978511
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay,Functional MTI,21469086
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Luciferase reporter assay//Western blot,Functional MTI,20219857
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Reporter assay,Functional MTI,17991735
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Western blot,Functional MTI,22766763
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Flow//Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,23548551
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,22212233
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,qRT-PCR//Western blot,Functional MTI,24659669
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Flow//qRT-PCR//Western blot,Functional MTI,26028073
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunofluorescence//Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,23811941
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunohistochemistry//Western blot,Functional MTI,24732841
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunofluorescence//Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,23827854
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,qRT-PCR//Western blot,Functional MTI,23824073
MIRT003054,hsa-miR-21-5p,Homo sapiens,PDCD4,27250,Homo sapiens,Immunohistochemistry//qRT-PCR//Western blot,Functional MTI,23417858
